# {"env_id": "CartPole-v0", "t_start": 1551114206.3040898} 
r,l,t
27.0,27,6.829413
43.0,43,6.968174
16.0,16,7.017803
16.0,16,7.07705
15.0,15,7.160289
20.0,20,7.246221
20.0,20,7.313485
38.0,38,7.426774
23.0,23,7.490085
18.0,18,7.539104
11.0,11,7.56901
17.0,17,7.621268
10.0,10,7.640929
15.0,15,7.679328
39.0,39,7.796375
23.0,23,7.864441
28.0,28,7.912101
17.0,17,7.953238
19.0,19,8.005607
20.0,20,8.080428
13.0,13,8.128544
26.0,26,8.235464
21.0,21,8.352252
26.0,26,8.508439
19.0,19,8.565662
21.0,21,8.594731
12.0,12,8.624835
29.0,29,8.672189
13.0,13,8.692674
29.0,29,8.777975
23.0,23,8.90893
46.0,46,9.129849
14.0,14,9.185186
44.0,44,9.331939
16.0,16,9.39316
11.0,11,9.44437
60.0,60,9.627424
13.0,13,9.664011
18.0,18,9.711327
9.0,9,9.731918
32.0,32,9.860536
26.0,26,10.047261
29.0,29,10.197069
24.0,24,10.298384
31.0,31,11.86242
23.0,23,11.924269
14.0,14,11.977154
17.0,17,12.086648
27.0,27,12.161813
16.0,16,12.197382
16.0,16,12.227783
24.0,24,12.28163
14.0,14,12.325029
18.0,18,12.377177
14.0,14,12.416921
43.0,43,12.604439
29.0,29,12.696533
10.0,10,12.71329
24.0,24,12.753685
12.0,12,12.774617
70.0,70,12.918691
10.0,10,12.944744
14.0,14,12.985969
34.0,34,13.076789
52.0,52,13.245792
33.0,33,13.368728
19.0,19,13.438381
26.0,26,13.551071
50.0,50,13.867169
69.0,69,14.135328
20.0,20,14.202188
25.0,25,14.311597
15.0,15,14.383801
17.0,17,14.445823
26.0,26,14.566589
15.0,15,14.610262
24.0,24,14.678845
26.0,26,14.734068
30.0,30,14.778611
55.0,55,14.862585
34.0,34,14.927455
18.0,18,14.978841
26.0,26,15.335706
70.0,70,15.54071
15.0,15,15.603968
38.0,38,15.73003
32.0,32,15.776366
82.0,82,15.964332
24.0,24,16.044499
33.0,33,16.21915
47.0,47,16.364672
19.0,19,16.422976
62.0,62,16.555317
35.0,35,16.660743
25.0,25,16.735618
15.0,15,16.786597
17.0,17,16.838887
30.0,30,16.916708
22.0,22,16.980554
19.0,19,17.041242
15.0,15,17.073109
24.0,24,17.205161
17.0,17,17.321497
61.0,61,17.570186
42.0,42,17.69726
25.0,25,17.751155
48.0,48,17.826645
28.0,28,17.911246
91.0,91,18.127094
71.0,71,18.274834
17.0,17,18.581411
18.0,18,18.619047
77.0,77,18.762838
82.0,82,19.278795
28.0,28,19.336562
58.0,58,19.432044
104.0,104,19.612704
84.0,84,19.859322
77.0,77,19.978807
61.0,61,20.064775
88.0,88,20.203621
112.0,112,20.591201
45.0,45,20.76546
94.0,94,21.222831
22.0,22,21.286268
62.0,62,21.522472
44.0,44,22.45512
91.0,91,23.028319
92.0,92,23.352274
27.0,27,23.453782
56.0,56,23.590669
36.0,36,23.659225
16.0,16,23.691366
106.0,106,24.081692
75.0,75,24.322638
34.0,34,24.547414
63.0,63,24.901461
21.0,21,24.967481
145.0,145,25.444613
85.0,85,25.745112
63.0,63,25.941082
101.0,101,26.821761
90.0,90,27.200741
75.0,75,27.418222
47.0,47,27.565125
31.0,31,27.660852
109.0,109,28.208193
142.0,142,28.616006
141.0,141,29.083503
80.0,80,29.40645
164.0,164,30.220868
188.0,188,31.224769
169.0,169,31.945567
184.0,184,32.451046
152.0,152,32.970323
149.0,149,33.195261
161.0,161,33.846094
168.0,168,34.73033
200.0,200,35.505434
173.0,173,36.069203
172.0,172,36.682842
15.0,15,36.719548
115.0,115,37.33362
162.0,162,37.950995
140.0,140,38.347264
200.0,200,39.532603
200.0,200,40.433044
120.0,120,41.015594
88.0,88,41.465718
186.0,186,42.197846
127.0,127,42.814028
200.0,200,44.243256
200.0,200,45.131456
158.0,158,45.771699
165.0,165,46.444667
182.0,182,47.230918
200.0,200,48.105459
80.0,80,48.789851
179.0,179,49.262307
114.0,114,49.803352
105.0,105,50.163027
60.0,60,50.420473
68.0,68,50.659094
68.0,68,50.952061
171.0,171,51.713226
117.0,117,51.997036
108.0,108,52.383104
200.0,200,53.697541
200.0,200,54.560391
200.0,200,55.520209
200.0,200,56.466565
200.0,200,57.428275
200.0,200,59.003217
200.0,200,59.738885
200.0,200,60.219768
98.0,98,60.76497
158.0,158,61.473178
99.0,99,61.747348
142.0,142,62.800302
190.0,190,63.529907
185.0,185,64.300133
184.0,184,65.001914
200.0,200,66.018743
200.0,200,67.14962
200.0,200,68.839583
200.0,200,69.754731
200.0,200,70.859776
200.0,200,71.937579
190.0,190,72.560661
194.0,194,73.552072
200.0,200,74.480911
200.0,200,75.239819
200.0,200,76.062969
200.0,200,76.892776
200.0,200,77.858844
200.0,200,78.745043
200.0,200,79.218435
200.0,200,79.721388
200.0,200,80.544139
200.0,200,81.765705
200.0,200,82.417723
200.0,200,83.132295
200.0,200,83.870155
200.0,200,84.790288
200.0,200,85.894165
200.0,200,86.578751
200.0,200,87.042722
200.0,200,87.78502
200.0,200,88.209933
200.0,200,89.116876
200.0,200,89.978164
200.0,200,90.639443
200.0,200,91.421476
200.0,200,92.124739
200.0,200,93.355655
200.0,200,94.257522
200.0,200,94.939527
200.0,200,95.826254
200.0,200,96.717925
200.0,200,97.514261
200.0,200,98.957257
200.0,200,99.750923
200.0,200,100.611625
200.0,200,101.388437
200.0,200,102.286252
200.0,200,103.267326
200.0,200,103.959581
200.0,200,104.686317
200.0,200,105.234986
200.0,200,106.409839
200.0,200,107.396611
200.0,200,108.111377
200.0,200,108.757112
200.0,200,109.369386
200.0,200,109.692676
200.0,200,110.401929
200.0,200,111.202432
200.0,200,111.878803
200.0,200,112.244269
79.0,79,112.44909
200.0,200,113.151148
200.0,200,114.134559
200.0,200,114.796322
200.0,200,115.51745
200.0,200,115.967429
200.0,200,116.743496
200.0,200,117.645062
200.0,200,118.381495
200.0,200,119.060728
200.0,200,119.578271
200.0,200,120.419597
200.0,200,121.456158
200.0,200,122.132817
200.0,200,122.909286
200.0,200,123.525749
200.0,200,124.118491
200.0,200,124.941975
200.0,200,125.585982
200.0,200,126.191201
200.0,200,127.030551
200.0,200,127.635003
200.0,200,128.442979
200.0,200,128.958641
200.0,200,129.444028
164.0,164,129.911529
200.0,200,130.44399
200.0,200,131.710505
82.0,82,131.907873
200.0,200,132.593965
200.0,200,133.383655
200.0,200,133.770231
200.0,200,134.349535
200.0,200,135.401729
200.0,200,136.217183
200.0,200,136.929495
200.0,200,137.372626
200.0,200,138.080102
200.0,200,139.060987
200.0,200,139.810251
200.0,200,140.578048
200.0,200,141.080968
200.0,200,141.77369
200.0,200,142.779992
200.0,200,143.643695
200.0,200,144.207798
200.0,200,144.803516
200.0,200,145.52573
200.0,200,146.600061
200.0,200,147.347668
200.0,200,147.914657
200.0,200,148.483919
200.0,200,149.121702
200.0,200,149.802117
200.0,200,151.131276
200.0,200,151.786673
200.0,200,152.380382
200.0,200,153.204026
200.0,200,153.619033
200.0,200,154.584422
200.0,200,155.202233
200.0,200,155.584141
200.0,200,156.316049
200.0,200,156.916522
200.0,200,157.845627
200.0,200,158.340542
200.0,200,159.073421
200.0,200,159.866508
200.0,200,160.714046
200.0,200,162.325434
200.0,200,162.960148
200.0,200,163.739942
200.0,200,164.255436
200.0,200,165.012761
200.0,200,165.925327
187.0,187,166.258783
200.0,200,166.981102
200.0,200,167.396
